BB_TICKER,EXCH_NAME,City,Country,EXCH_CODE,EXCH_FEED,TIME_ZONE_NUM,TICKER,NAME,ID_EXCH_SYMBOL,ID_BB,ID_BB_PARSEKEY,FEED_CODE,FEED_SOURCE,TICKER_RT,FUT_GEN_MONTH,FUT_TRADING_UNITS,PX_SCALING_FACTOR,FUT_CONT_SIZE,FUT_TICK_SIZE,FUT_TICK_VAL,TRADING_DAY_START_TIME_EOD,TRADING_DAY_END_TIME_EOD,CRNCY,QUOTED_CRNCY,SES_START,SES_END,FUT_TRADING_HRS,SECURITY_TYP2,SECURITY_TYP,FUTURES_CATEGORY,ASSET_CLASS,PRODUCT,EXPOSURE,TRADE,INDEX,ID_RIC,CODE,DISPLAY_NAME,EXCH_ID,TRD_UNITS,LOTSUNITS,OPEN_INT
SMU6 Index,Mercado Mexicano de Derivados,Mexico City,Mexico,MDX,XEMD,-5,ISU6,MEX BOLSA Index,IPC,IS,ISmY Index,MEXICO,MDX,ISU6,HMUZ,S? x index,1,10,1,10,07:00:00,21:05:00,CHF,CHF,07:00:00,21:05:00,06:50-21:00,Future,Physical index future,Equity Index,EQ,FUTURE,DERIVATIVE,FALSE,FALSE,IPC,IPCc1,IPC INDEX SEP6/d,   ,4DP ,INDEX,37162
BZQ6 Index,Bolsa de Mercadorias e Futuros,Sao Paolo,Brazil,BMF,BVMF,-3,BZQ6,BOVESPA Index,IND,BZ,BZmY Index,BMF,BMF,BZQ6,GJMQVZ,BRL x Index,1,1,5,5,12:55:00,21:55:00,BRL,BRL,12:55:00,21:55:00,13:00-21:55,Future,Physical index future,Equity Index,EQ,FUTURE,DERIVATIVE,FALSE,FALSE,IND,INDc1,BMF IBOV AUG6/d,BMF,INT , BRL ,246935
FFN6 Comdty,Chicago Board of Trade,Chicago,United States of America,CBT,XCBT,-5,FFN6,FED FUND 30D,ZQ,FF,FFmY Comdty,CBOT,cCBT,FFN6,FGHJKMNQUVXZ,$,1,5000000,0.0025,10.4175,23:00:00,22:00:00,USD,USD,23:00:00,22:00:00,23:00-22:00,Future,Financial commodity future,Interest Rate,IR,FUTURE,DERIVATIVE,TRUE,FALSE,ZQ,ZQc1,Retrieving...,Retrieving...,Retrieving...,Retrieving...,Retrieving...
EDZ6 Comdty,Chicago Mercantile Exchange,Chicago,United States of America,CME,XCME,-5,EDZ6,EURODOLLAR 90D,GE,ED,EDmY Comdty,CME,cCME,EDZ6,HMUZ,$,1,1000000,0.005,12.5,23:00:00,22:00:00,USD,USD,23:00:00,22:00:00,23:00-22:00,Future,Financial commodity future,Interest Rate,IR,FUTURE,DERIVATIVE,TRUE,FALSE,GE,GEc1,#N/A The record could not be found,#N/A The record could not be found,#N/A The record could not be found,#N/A The record could not be found,#N/A The record could not be found
TUU6 Comdty,Chicago Board of Trade,Chicago,United States of America,CBT,XCBT,-5,TUU6,US 2Y NOTE,ZT,TU,TUmY Comdty,CBOT,cCBT,TUU6,HMUZ,$,1,200000,0.0078125,15.625,23:00:00,22:00:00,USD,USD,23:00:00,22:00:00,23:00-22:00,Future,Financial commodity future,Bond,IR,FUTURE,DERIVATIVE,TRUE,TRUE,ZT,ZTc1,Retrieving...,Retrieving...,Retrieving...,Retrieving...,Retrieving...
FVU6 Comdty,Chicago Board of Trade,Chicago,United States of America,CBT,XCBT,-5,FVU6,US 5Y NOTE,ZF,FV,FVmY Comdty,CBOT,cCBT,FVU6,HMUZ,$,1,100000,0.0078125,7.8125,23:00:00,22:00:00,USD,USD,23:00:00,22:00:00,23:00-22:00,Future,Financial commodity future,Bond,IR,FUTURE,DERIVATIVE,TRUE,TRUE,ZF,ZFc1,Retrieving...,Retrieving...,Retrieving...,Retrieving...,Retrieving...
TYU6 Comdty,Chicago Board of Trade,Chicago,United States of America,CBT,XCBT,-5,TYU6,US 10Y NOTE,ZN,TY,TYmY Comdty,CBOT,cCBT,TYU6,HMUZ,$,1,100000,0.015625,15.625,23:00:00,22:00:00,USD,USD,23:00:00,22:00:00,23:00-22:00,Future,Financial commodity future,Bond,IR,FUTURE,DERIVATIVE,TRUE,TRUE,ZN,ZNc1,Retrieving...,Retrieving...,Retrieving...,Retrieving...,Retrieving...
UXYU6 Comdty,Chicago Board of Trade,Chicago,United States of America,CBT,XCBT,-5,UXYU6,US ULTRA-10Y NOTE,TN,UXY,UXYmY Comdty,CBOT,cCBT,UXYU6,HMUZ,USD,1,100000,0.015625,15.625,23:00:00,22:00:00,USD,USD,23:00:00,22:00:00,23:00-22:00,Future,Financial commodity future,Bond,IR,FUTURE,DERIVATIVE,TRUE,FALSE,TN,TNc1,Retrieving...,Retrieving...,Retrieving...,Retrieving...,165927
USU6 Comdty,Chicago Board of Trade,Chicago,United States of America,CBT,XCBT,-5,USU6,US LONG BOND,ZB,US,USmY Comdty,CBOT,cCBT,USU6,HMUZ,$,1,100000,0.03125,31.25,23:00:00,22:00:00,USD,USD,23:00:00,22:00:00,23:00-22:00,Future,Financial commodity future,Bond,IR,FUTURE,DERIVATIVE,TRUE,FALSE,ZB,ZBc1,Retrieving...,Retrieving...,Retrieving...,Retrieving...,Retrieving...
WNU6 Comdty,Chicago Board of Trade,Chicago,United States of America,CBT,XCBT,-5,WNU6,US ULTRA-BOND,UB,WN,WNmY Comdty,CBOT,cCBT,WNU6,HMUZ,$,1,100000,0.03125,31.25,23:00:00,22:00:00,USD,USD,23:00:00,22:00:00,23:00-22:00,Future,Financial commodity future,Bond,IR,FUTURE,DERIVATIVE,TRUE,FALSE,UB,UBc1,Retrieving...,Retrieving...,Retrieving...,Retrieving...,Retrieving...
