Contract,Expiry,Month,Code,BB Suffix,BB Ticker,Region,Description,Last,Net Ch,Time,High,Low,NAME,Full Description,FUT_GEN_MONTH,NAME,ID_BB_GLOBAL_COMPANY_NAME,COUNTRY,COUNTRY_ISO,COUNTRY_FULL_NAME,NEWS_TOPIC,TODAY_DT,FUT_TRADING_HRS,FUT_FIRST_TRADE_DT,FUT_ROLL_DT,FEED_CODE,ID_BB,ID_BB_SEC_NUM,ID_EXCH_SYMBOL,PRICE_LAST_TIME,ID_ISIN,ID_MIC_PRIM_EXCH,SECURITY_DES,SHORT_NAME,SECURITY_NAME,SECURITY_NAME_LANG,FUT_LONG_NAME,SECURITY_DESCRIPTION_RT,TICKER,UNDL_SPOT_TICKER,TICKER_RT,FUT_CONT_SIZE,FUT_NUM_GEN_AVAIL,CRNCY,QUOTE_UNITS,FUT_DLV_DT_FIRST,FUT_DLV_DT_LAST,LAST_TRADEABLE_DT,FUT_DAYS_EXPIRE,FUT_ACT_DAYS_EXP,FUT_MONTH_YR,FUT_CONTRACT_DT,CURRENT_CONTRACT_MONTH_YR,MARKET_SECTOR_DES,MARKET_SECTOR,UNDL_MARKET_SECTOR,BB_COUNTRY_CODE,CALENDAR_CODE,CDR_SETTLE_CODE,CASH_SETTLED,CASH_SETTLED_RT
DP,Mar17,H7,DPH7,Index,DPH7 Index,Germany,TecDAX STOCK,1590.5,11,0.359027778,1590.5,1589,TecDAX STOCK IND,Eurex TecDAX Stock Index Future,HMUZ,TecDAX STOCK IND  Sep16,Eurex TecDAX Stock Index Future,DE,DE,GERMANY,#N/A N/A,23/01/2017,06:50-21:00,17/06/2016,17/03/2017,EUREX,DPH7,63175258,FTDX,07:22:23,DE0002270287,XEUR,DPH7,TecDAX STOCK IND  Mar17,TecDAX STOCK IND  Mar17,1,TecDAX STOCK IND  Mar17,DPH7,DPH7,TDXP,DPH7,10,3,EUR,index points,20/03/2017,20/03/2017,17/03/2017,55,53,MAR 17,03/2017,MAR 17,Index,9,9,GE,DT,DT,Y,TRUE
MF,Mar17,H7,MFH7,Index,MFH7 Index,Germany,MDAX INDEX,19380,4,0.375,19410,19322,MDAX INDEX FUT,Eurex MDAX Index Future,HMUZ,MDAX INDEX FUT    Sep16,Eurex MDAX Index Future,DE,DE,GERMANY,#N/A N/A,23/01/2017,06:50-21:00,20/06/2016,17/03/2017,EUREX,MFH7,63176795,F2MX,09:08:38,DE000A0BRCY6,XEUR,MFH7,MDAX INDEX FUT    Mar17,MDAX INDEX FUT    Mar17,1,MDAX INDEX FUT    Mar17,MFH7,MFH7,MDAX,MFH7,5,3,EUR,index points,17/03/2017,17/03/2017,17/03/2017,55,53,MAR 17,03/2017,MAR 17,Index,9,9,GE,DT,DT,Y,TRUE
Z ,Mar17,H7,Z H7,Index,Z H7 Index,UK,FTSE 100,6500,9.5,0.385416667,6504.5,6461,FTSE 100 IDX FUT,FTSE 100 Index Future,HMUZ,FTSE 100 IDX FUT  Sep16,FTSE 100 Index Future,GB,GB,BRITAIN,LNS,23/01/2017,01:00-21:00,21/03/2016,17/03/2017,ICE EUR,Z H7,60551612,Z,09:14:07,#N/A N/A,IFLL,Z H7,FTSE 100 IDX FUT  Mar17,FTSE 100 IDX FUT  Mar17,1,FTSE 100 IDX FUT  Mar17,Z H7,Z H7,UKX,Z H7,10,4,GBP,index points,17/03/2017,17/03/2017,17/03/2017,55,53,MAR 17,03/2017,MAR 17,Index,9,9,GB,IP,IP,Y,TRUE
CF,Feb17,G7,CFG7,Index,CFG7 Index,France,CAC 40,4131.5,14.5,0.381944444,4134,4094.5,CAC40 10 EURO FUT,Euronext CAC 40 Index Future,FGHJKMNQUVXZ,CAC40 10 EURO FUT Jul16,Euronext CAC 40 Index Future,FR,FR,FRANCE,FPS,23/01/2017,07:00-21:00,21/11/2016,17/02/2017,LIFFE,CFG7,68008487,FCE,09:09:07,#N/A N/A,XMON,CFG7,CAC40 10 EURO FUT Feb17,CAC40 10 EURO FUT Feb17,1,CAC40 10 EURO FUT Feb17,CFG7,CFG7,CAC,CFG7,10,14,EUR,index points,20/02/2017,20/02/2017,17/02/2017,27,25,FEB 17,02/2017,FEB 17,Index,9,9,FR,PA,PA,Y,TRUE
SW,Mar17,H7,SWH7,Index,SWH7 Index,Italy,MINI FTSE/MIB,15650,227,0.381944444,15650,15335,MINI FTSE/MIB FUT,Milan Stock Exchange Mini S&P/MIB Index Future,HMUZ,MINI FTSE/MIB FUT Sep16,Milan Stock Exchange Mini S&P/MIB Index Future,IT,IT,ITALY,IMS,23/01/2017,08:00-16:40,19/09/2016,17/03/2017,Italy,SWH7,3769022,MINI,09:09:09,IT0013262297,XDMI,SWH7,MINI FTSE/MIB FUT Mar17,MINI FTSE/MIB FUT Mar17,1,MINI FTSE/MIB FUT Mar17,SWH7,SWH7,FTSEMIB,SWH7,1,2,EUR,index points,17/03/2017,17/03/2017,17/03/2017,55,53,MAR 17,03/2017,MAR 17,Index,9,9,IT,MI,MI,Y,TRUE
ST,Mar17,H7,STH7,Index,STH7 Index,Italy,FTSE MIB,15645,222,0.381944444,15645,15330,FTSE/MIB IDX FUT,FTSE/MIB Index Future,HMUZ,FTSE/MIB IDX FUT  Sep16,FTSE/MIB Index Future,IT,IT,ITALY,IMS,23/01/2017,08:00-16:50,21/03/2016,17/03/2017,Italy,STH7,3768802,FTMIB,09:09:10,IT0012922958,XDMI,STH7,FTSE/MIB IDX FUT  Mar17,FTSE/MIB IDX FUT  Mar17,1,FTSE/MIB IDX FUT  Mar17,STH7,STH7,FTSEMIB,STH7,5,4,EUR,index points,17/03/2017,17/03/2017,17/03/2017,55,53,MAR 17,03/2017,MAR 17,Index,9,9,IT,MI,MI,Y,TRUE
EO,Feb17,G7,EOG7,Index,EOG7 Index,Netherlands,AEX,427.35,1.05,0.381944444,427.6,423.8,AMSTERDAM IDX FUT,Euronext Amsterdam Index Future,FGHJKMNQUVXZ,AMSTERDAM IDX FUT Jul16,Euronext Amsterdam Index Future,NL,NL,NETHERLANDS,NAS,23/01/2017,07:00-21:00,21/11/2016,17/02/2017,LIFFE,EOG7,4411838,FTI,09:09:04,#N/A N/A,XEUE,EOG7,AMSTERDAM IDX FUT Feb17,AMSTERDAM IDX FUT Feb17,1,AMSTERDAM IDX FUT Feb17,EOG7,EOG7,AEX,EOG7,200,6,EUR,index points,17/02/2017,17/02/2017,17/02/2017,27,25,FEB 17,02/2017,FEB 17,Index,9,9,NE,AM,AM,Y,TRUE
QC,Feb17,G7,QCG7,Index,QCG7 Index,Sweden,OMX STKH30,1309,5.5,0.381944444,1309,1298,OMXS30 IND FUTURE,OML Stockholm OMXS30 Index Future,FGHJKMNQUVXZ,OMXS30 IND FUTURE Jul16,OML Stockholm OMXS30 Index Future,SE,SE,SWEDEN,SSS,23/01/2017,08:00-16:25,14/11/2016,17/02/2017,NORDIC,QCG7,68008535,OMXS30,09:09:09,SE0009294028,XSTO,QCG7,OMXS30 IND FUTURE Feb17,OMXS30 IND FUTURE Feb17,1,OMXS30 IND FUTURE Feb17,QCG7,QCG7,OMX,QCG7,100,7,SEK,index points,17/02/2017,17/02/2017,17/02/2017,27,25,FEB 17,02/2017,FEB 17,Index,9,9,SW,SW,SW,Y,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NK,Mar17,H7,NKH7,COMB Index,NKH7 COMB Index,Japan,NIKKEI 225 (OSE),15160,40,0.4,15210,15160,NIKKEI 225 (OSE),OSE Nikkei 225 Index Future,HMUZ,NIKKEI 225  (OSE) Sep16,OSE Nikkei 225 Index Future,JP,JP,JAPAN,JPS,23/01/2017,07:30-20:30 & 23:45-06:15,11/09/2015,09/03/2017,JAPAN,NKH7,54947769,NK225,09:04:06,#N/A Field Not Applicable,XOSE,NKH7 COMB,NIKKEI 225  (OSE) Mar17,NIKKEI 225  (OSE) Mar17,1,NIKKEI 225  (OSE) Mar17,NKH7 COMB,NKH7,NKY,NKH7,1000,5,JPY,index points,10/03/2017,10/03/2017,09/03/2017,47,45,MAR 17,03/2017,MAR 17,Index,9,9,JN,OK,OK,Y,TRUE
